url,city,price,title,location,area,bedrooms,bathrooms,property_type,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,dining_rooms,laundry_rooms,floors,electricity_backup,internet,gas,security,water_supply
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_kanal_ultra_luxury_fully_furnished_mansion_for_sale_in_dha_phase_2_islamabad-54253565-339-1.html,islamabad,460000000,3 Kanal Ultra Luxury Fully Furnished Mansion For Sale in DHA Phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",3 Kanal,10,7,House,2026,8,2,3,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_25x50_ultra_luxury_hybrid_unit_house_for_sale_in_mpchs_multi_garden_b17_islamabad-54253369-8527-1.html,islamabad,26000000,5 Marla (25x50) Ultra Luxury Hybrid Unit House For sale in mpchs multi Garden B17 Islamabad,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",5 Marla,3,4,House,2026,1,Yes,Yes,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/g_15_zarkon_heights_2_bed_for_sale_in_zarkon_heights_g15_islambad_block_b_c_d_e_f-54186281-10169-1.html,islamabad,19000000,"2 BED FOR SALE IN ZARKON HEIGHTS G15 ISLAMBAD BLOCK B,C,D,E,F","Zarkon Heights, G-15, Islamabad, Islamabad Capital",5.5 Marla,2,2,Flat,2026,1,,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_brand_new_house_for_sale_in_top_city-1_islamabad-53681427-9233-1.html,islamabad,51000000,10 Marla Brand New House For Sale In Top City-1 Islamabad,"Top City 1 - Block D, Top City 1, Islamabad, Islamabad Capital",10 Marla,5,6,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_1_kanal_50x90_ultra_luxury_designer_corner_house_for_sale_in_block_c_mpchs_multi_garden_b-17_islamabad-54194131-3118-1.html,islamabad,105000000,1 Kanal (50x90) Ultra Luxury Designer Corner House For sale in Block C Mpchs Multi Garden B-17 Islamabad,"MPCHS - Block C, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",1 Kanal,6,6,House,,3,Yes,Yes,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_bani_gala_ideal_house_is_available_for_sale_in_bani_gala-50367010-340-1.html,islamabad,50000000,Ideal House Is Available For Sale In Bani Gala,"Bani Gala, Islamabad, Islamabad Capital",1.3 Kanal,5,6,House,2023,4,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_g-13_corner_25x40_house_g-13_islamabad-54158101-330-1.html,islamabad,37500000,CORNER 25x40 HOUSE G-13 ISLAMABAD,"G-13, Islamabad, Islamabad Capital",4 Marla,5,6,House,2026,Yes,1,Yes,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/g_14_g-14_4_highly-desirable_prime_location_house_available_in_g-14_4_for_sale-53611689-3346-1.html,islamabad,93000000,Highly-Desirable Prime Location House Available In G-14/4 For Sale,"G-14/4, G-14, Islamabad, Islamabad Capital",14 Marla,8,6,House,2020,3,1,1,3,Yes,Yes,,,,,,,
https://www.zameen.com/Property/f_11_f-11_markaz_f-11_markaz_one_bedroom_apartment_available_for_sale-54227799-3286-1.html,islamabad,21500000,F-11 Markaz One Bedroom Apartment Available For Sale,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",5.6 Marla,1,1,Flat,2011,1,,,1,,,,,,,,,
https://www.zameen.com/Property/f_11_f-11_2_f-11_2_brand_new_666_yards_fully-furnished_house_high-end_construction_9_bedrooms_full_basement_unparalleled_luxury_and_sophistication_price_30_crores-52722809-3283-1.html,islamabad,300000000,"F-11/2: BRAND NEW 666 Yards FULLY-FURNISHED HOUSE, HIGH-END CONSTRUCTION, 9 Bedrooms, FULL BASEMENT, Unparalleled Luxury and Sophistication, Price 30 Crores","F-11/2, F-11, Islamabad, Islamabad Capital",1.3 Kanal,9,7,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_river_garden_10_marla_house_duble_story_available_for_sale_in_river_garden_islamabad-54010285-1457-1.html,islamabad,45500000,10 Marla House Duble Story Available For Sale In River Garden Islamabad,"River Garden, Islamabad, Islamabad Capital",10 Marla,4,6,House,,,,,,,,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_designer_house_for_sale_near_family_park-52503543-339-1.html,islamabad,109000000,Luxury Designer House For Sale Near Family Park,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2024,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/gulberg_gulberg_greens_fully_furnished_5_kanal_luxury_farmhouse_for_sale_gulberg_green-54227704-8312-1.html,islamabad,450000000,Fully Furnished 5 Kanal Luxury Farmhouse For Sale Gulberg Green,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",5 Kanal,6,6,Farm House,,,,,,,,,,,,,,
